Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
"Congo, Dem. Rep.",COD,CO2 emissions (kt),EN.ATM.CO2E.KT,2060,2520,2430,3650,4790
"Congo, Dem. Rep.",COD,Access to electricity (% of population),EG.ELC.ACCS.ZS,12.86934471,13.53587914,15.4,14.94590092,13.5
"Congo, Dem. Rep.",COD,Agricultural land (% of land area),AG.LND.AGRI.ZS,11.46864868,11.55686906,13.57535123,13.8505988,14.15937011
"Congo, Dem. Rep.",COD,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0,0,0.206531325,0.081984,0.084444
"Congo, Dem. Rep.",COD,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,2.684161867,2.710329197,2.419477325,2.26762471,2.359946277
"Congo, Dem. Rep.",COD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,104.6560836,108.0216267,112.1836565,117.0283067,108.5167041
"Congo, Dem. Rep.",COD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,1.087919039,1.114065072,0.118234367,0.108985226,0.124434389
"Congo, Dem. Rep.",COD,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0.223331582,0.217970453,0.101809955
"Congo, Dem. Rep.",COD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,307.4199583,315.7665691,378.9170558,385.1692217,389.3319336
"Congo, Dem. Rep.",COD,Forest area (% of land area),AG.LND.FRST.ZS,60.50550275,60.01968373,59.53386471,59.0480457,58.56222668
"Congo, Dem. Rep.",COD,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,64563853,66755151,69020749,71358804,73767445
"Congo, Dem. Rep.",COD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.013,40.544,41.082,41.627,42.18
"Iran, Islamic Rep.",IRN,CO2 emissions (kt),EN.ATM.CO2E.KT,550890,561730,571120,592480,610670
"Iran, Islamic Rep.",IRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.64732361,99.69103241,99.71684265,99.83,100
"Iran, Islamic Rep.",IRN,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.57351605,28.48338613,28.39325622,28.21410153,28.21410153
"Iran, Islamic Rep.",IRN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,96.53793737,85.87630786,66.23381387,84.45905908,96.43858378
"Iran, Islamic Rep.",IRN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.326110816,0.44157796,0.6165129,0.991012607,0.908868457
"Iran, Islamic Rep.",IRN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2659.955255,2681.504789,2784.621808,2830.811233,3022.121939
"Iran, Islamic Rep.",IRN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,95.83660644,94.74113942,94.2880964,92.56003414,93.17611586
"Iran, Islamic Rep.",IRN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0.074261995,0.099561762,0.090452894,0.15127613,0.14748242
"Iran, Islamic Rep.",IRN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2769.463567,2791.107676,2869.332532,2889.109214,3060.386414
"Iran, Islamic Rep.",IRN,Forest area (% of land area),AG.LND.FRST.ZS,6.564490778,6.564490778,6.564490778,6.564490778,6.564490778
"Iran, Islamic Rep.",IRN,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,99.44489988,99.41712857,99.32468489,98.95888776,99.02258055
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,73762519,74634959,75539881,76481963,77465769
"Iran, Islamic Rep.",IRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.626,71.2,71.755,72.295,72.83
Iraq,IRQ,CO2 emissions (kt),EN.ATM.CO2E.KT,120230,131030,151860,162550,168840
Iraq,IRQ,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.25507355,98,99.3,98.84931946,99.09417725
