Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,4580,5040,4580,4790,5220
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,99.90000153,100,99.94999695
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.84306569,43.83211679,43.84306569,43.33211679,42.85729927
Albania,ALB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,0,0,0,0,0
Albania,ALB,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,23.28219188,22.10933619,25.41917376,26.06878501,24.54805021
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503
Albania,ALB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,0.013213531,1.407778573,0,0,0
Albania,ALB,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0,0,0
Albania,ALB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,729.1543727,764.9686166,687.8962599,801.329975,808.4558396
Albania,ALB,Forest area (% of land area),AG.LND.FRST.ZS,28.54270073,28.59465328,28.64660584,28.69855839,28.75051095
Albania,ALB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,63.23900375,61.50276527,57.75408172,56.39533881,61.42180139
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.163,53.247,54.33,55.387,56.423
Albania,ALB,"Population, total",SP.POP.TOTL,2913021,2905195,2900401,2895092,2889104
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,113140,118140,126640,129910,138810
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.8589325,98.88803101,98.7646637,99.0022049,99.08701324
Algeria,DZA,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.37133356,17.37721162,17.38149,17.39553226,17.39526565
Algeria,DZA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,15.906,14.826,14.926,17.50241863,21.66233319
Algeria,DZA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.027318948,0.072287722,0.082677088,0.042983163,0.030106036
Algeria,DZA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1016.636782,1123.332915,1237.966109,1278.915242,1362.871884
Algeria,DZA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,99.61953907,99.01999063,98.91631967,99.44898981,99.60462003
Algeria,DZA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,0,0,0,0,0
Algeria,DZA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1114.217152,1140.642901,1229.54703,1247.494955,1327.53551
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,0.805293609,0.808484553,0.811675498,0.814866442,0.818057387
Algeria,DZA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,99.84783479,99.88747563,99.85891737,99.910365,99.97791672
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.54,68.236,68.915,69.576,70.221
Algeria,DZA,"Population, total",SP.POP.TOTL,35977451,36661438,37383899,38140135,38923688
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,28530,29460,30250,32820,34630
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,34.89563751,34.59999847,37.13132095,38.2780304,32
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,42.12079891,42.5660239,43.0112489,43.45647389,43.90169889
Angola,AGO,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,47.908,50.973,70.977,70.431,65.517
Angola,AGO,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,2.250755158,2.352302227,2.017801528,2.546606882,2.548840019
Angola,AGO,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,206.4544017,207.0133514,219.2534827,280.2144821,312.2288945
